Date,Open,High,Low,Close,Adj Close,Volume
2019-08-30,221.809998,221.960007,218.850006,219.080002,217.914291,2946700
2019-09-03,218.809998,225.589996,218.809998,225.559998,224.359802,2429600
2019-09-04,225.589996,225.960007,222.830002,224.119995,222.927460,2227400
2019-09-05,219.179993,221.339996,218.600006,219.809998,218.640396,4415300
2019-09-06,220.110001,221.029999,218.759995,220.139999,218.968643,2282600
2019-09-09,219.199997,220.889999,218.889999,219.889999,218.719971,2074400
2019-09-10,219.279999,219.660004,216.369995,218.119995,216.959381,2773700
2019-09-11,218.020004,220.589996,217.449997,220.059998,218.889069,2204500
2019-09-12,221.869995,222.250000,219.720001,220.740005,219.565460,2167800
2019-09-13,220.059998,220.119995,217.789993,218.490005,217.327423,2053300
2019-09-16,218.570007,219.080002,217.259995,218.309998,217.148376,1258400
2019-09-17,218.440002,222.330002,218.440002,222.220001,221.037582,1899200
2019-09-18,222.860001,224.190002,221.369995,223.899994,222.708633,1920400
2019-09-19,224.740005,225.399994,223.559998,224.899994,223.703308,1476700
2019-09-20,225.199997,226.000000,223.639999,225.720001,224.518951,4751800
2019-09-23,225.440002,226.460007,224.839996,225.279999,224.081299,1658500
2019-09-24,225.880005,228.669998,225.360001,228.509995,227.294098,2168600
2019-09-25,228.899994,229.490005,227.509995,229.369995,228.149521,2105900
2019-09-26,229.990005,232.789993,229.580002,231.720001,230.487030,2175900
2019-09-27,232.250000,232.570007,230.149994,231.259995,230.029465,1875300
2019-09-30,232.020004,233.449997,231.750000,232.990005,231.750275,2234400
2019-10-01,232.160004,233.169998,230.649994,232.029999,230.795380,1681900
2019-10-02,231.690002,232.479996,228.529999,229.110001,227.890915,2034600
2019-10-03,228.860001,230.289993,228.559998,230.169998,228.945267,2004400
2019-10-04,230.110001,233.860001,230.000000,233.589996,232.347076,1638200
2019-10-07,233.449997,233.820007,231.169998,232.550003,231.312607,1538500
2019-10-08,232.139999,232.179993,229.960007,229.970001,228.746338,1742000
2019-10-09,232.229996,234.270004,231.000000,233.360001,232.118301,1501000
2019-10-10,232.020004,232.860001,230.240005,232.000000,230.765533,1866400
2019-10-11,231.789993,232.380005,228.550003,229.539993,228.318619,2075400
2019-10-14,230.009995,230.380005,227.550003,228.899994,227.682022,1177900
2019-10-15,229.339996,229.820007,226.830002,227.539993,226.329254,1418100
2019-10-16,227.669998,230.339996,226.580002,229.910004,228.686661,1915500
2019-10-17,229.270004,231.589996,229.270004,231.089996,229.860367,1341600
2019-10-18,231.190002,232.779999,230.309998,232.479996,231.242981,2196100
2019-10-21,232.410004,233.039993,230.649994,232.800003,231.561279,1622100
2019-10-22,233.789993,239.889999,233.009995,236.240005,234.982986,3159200
2019-10-23,237.550003,238.600006,235.710007,236.000000,234.744247,2228100
2019-10-24,236.000000,237.669998,234.820007,237.550003,236.286011,1602800
2019-10-25,237.619995,237.649994,235.570007,236.880005,235.619568,1518100
2019-10-28,236.500000,236.710007,232.639999,233.229996,231.988983,1791100
2019-10-29,232.270004,233.169998,231.199997,232.600006,231.362350,1715300
2019-10-30,233.330002,236.630005,233.009995,235.460007,234.207138,1239800
2019-10-31,235.520004,238.500000,234.919998,238.339996,237.071793,2057100
2019-11-01,238.690002,238.889999,235.089996,235.710007,234.455795,2004500
2019-11-04,235.229996,235.229996,228.190002,229.600006,228.378311,3364900
2019-11-05,227.410004,229.300003,224.710007,227.110001,225.901550,2375600
2019-11-06,227.500000,228.500000,226.600006,227.490005,226.279541,1744100
2019-11-07,226.619995,226.639999,220.660004,223.089996,221.902939,3118300
2019-11-08,223.100006,224.690002,221.039993,222.080002,220.898315,1607900
2019-11-11,222.360001,223.479996,221.710007,222.220001,221.037582,1535700
2019-11-12,222.190002,224.000000,222.089996,223.220001,222.032257,1449600
2019-11-13,224.899994,228.179993,224.899994,227.910004,226.697296,1797300
2019-11-14,228.000000,230.119995,227.610001,229.869995,228.646866,1582400
2019-11-15,230.419998,231.539993,228.350006,231.419998,230.188614,1845600
2019-11-18,231.979996,234.440002,231.750000,232.160004,230.924683,1750600
2019-11-19,232.089996,234.339996,231.130005,232.660004,231.422028,1630600
2019-11-20,233.339996,236.759995,232.720001,235.220001,233.968399,2126500
2019-11-21,235.729996,236.270004,234.110001,235.139999,233.888824,1247500
2019-11-22,235.419998,236.169998,231.720001,233.380005,232.138199,1254000
2019-11-25,233.869995,234.559998,231.759995,232.559998,231.322556,1864100
2019-11-26,233.169998,235.240005,233.000000,234.919998,233.669998,3908500
2019-11-27,233.330002,233.789993,232.559998,233.070007,233.070007,2146000
2019-11-29,234.610001,235.729996,233.229996,233.820007,233.820007,889400
2019-12-02,233.710007,233.710007,231.070007,231.250000,231.250000,1779500
2019-12-03,232.000000,232.820007,231.389999,232.229996,232.229996,2312300
2019-12-04,231.649994,234.470001,231.500000,234.259995,234.259995,1674800
2019-12-05,233.119995,234.789993,233.029999,234.559998,234.559998,1603300
2019-12-06,234.410004,235.429993,233.509995,234.389999,234.389999,1549000
2019-12-09,234.940002,234.970001,233.839996,234.270004,234.270004,1140000
2019-12-10,234.360001,234.949997,233.809998,234.449997,234.449997,1086400
2019-12-11,235.000000,235.860001,233.940002,235.779999,235.779999,1553200
2019-12-12,235.520004,236.190002,232.770004,233.899994,233.899994,1742600
2019-12-13,233.080002,237.380005,232.770004,236.949997,236.949997,2086300
2019-12-16,237.240005,239.500000,236.399994,239.470001,239.470001,3571200
